交易類型,行政區,交易日期,地址,建物型態,移轉層次,總樓層,房型,總坪數,成交總價(萬),車位總價(萬),每坪單價(萬),含車位,車位類別,成交建案名稱,備註
買賣(含新成屋/中古),前金區,2026-01-30,高雄市前金區中山橫路１３８號十樓之２,住宅大樓(11層含以上有電梯),十層,十五層,3房2廳2衛,65.09,1930.0,0.0,29.65,是,坡道平面,,含傢俱設備費；
買賣(含新成屋/中古),鼓山區,2026-01-08,高雄市鼓山區美術館路１５５號,住宅大樓(11層含以上有電梯),一層,二十五層,0房0廳1衛,75.11,6650.0,0.0,88.54,是,坡道平面,,
買賣(含新成屋/中古),苓雅區,2026-01-18,高雄市苓雅區中正二路１６１號十樓之３,住宅大樓(11層含以上有電梯),十層,十二層,1房2廳2衛,42.26,750.0,0.0,17.75,否,,,玄關走道增建公設增建陽台外推；其他增建；
買賣(含新成屋/中古),苓雅區,2026-01-18,高雄市苓雅區福建街９巷１１號６樓之５,住宅大樓(11層含以上有電梯),六層,十二層,1房0廳1衛,8.68,210.0,0.0,24.19,否,,,附贈冷氣1台.簡易傢俱
買賣(含新成屋/中古),小港區,2026-01-06,高雄市小港區山田路１３２巷３０號五樓,華廈(10層含以下有電梯),五層,五層,2房2廳1衛,23.28,675.0,0.0,28.99,否,,,
買賣(含新成屋/中古),小港區,2026-01-21,高雄市小港區宏平路６６８號三樓之１,住宅大樓(11層含以上有電梯),三層,十五層,3房2廳2衛,44.62,1398.0,195.0,26.96,是,坡道平面,,
買賣(含新成屋/中古),小港區,2026-01-26,高雄市小港區宏平路６６６號十四樓之５,住宅大樓(11層含以上有電梯),十四層,十五層,3房2廳2衛,45.77,1598.0,205.0,30.43,是,坡道平面,,
買賣(含新成屋/中古),小港區,2026-01-18,高雄市小港區金城路３１號六樓,華廈(10層含以下有電梯),六層,六層,3房2廳2衛,48.03,775.0,0.0,16.14,是,坡道平面,,
買賣(含新成屋/中古),前鎮區,2026-01-08,高雄市前鎮區翠亨北路１７７號三樓,住宅大樓(11層含以上有電梯),三層,十五層,2房2廳2衛,34.61,1180.0,160.0,29.47,是,坡道平面,,
買賣(含新成屋/中古),前鎮區,2026-01-25,高雄市前鎮區翠亨北路１９５號二樓之３,住宅大樓(11層含以上有電梯),二層,十五層,2房2廳2衛,31.09,1270.0,130.0,36.67,是,坡道機械,,含裝潢費；含傢俱設備費；
